(0,0) 
(0.0147059,0.0147059) 
(0.0588235,0.0588235) 
(0.132353,0.132353) 
(0.23,0.23) 
(0.33,0.33) 
(0.43,0.43) 
(0.53,0.53) 
(0.63,0.63) 
(0.73,0.73) 
(0.83,0.83) 
(0.93,0.93) 
(1.03,1.03) 
(1.13,1.13) 
(1.23,1.23) 
(1.33,1.33) 
(1.43,1.43) 
(1.53,1.53) 
(1.63,1.63) 
(1.73,1.73) 
(1.83,1.83) 
(1.93,1.93) 
(2.03,2.03) 
(2.13,2.13) 
(2.23,2.23) 
(2.33,2.33) 
(2.43,2.43) 
(2.53,2.53) 
(2.63,2.63) 
(2.73,2.73) 
(2.83,2.83) 
(2.93,2.93) 
(3.03,3.03) 
(3.13,3.13) 
(3.23,3.23) 
(3.33,3.33) 
(3.43,3.43) 
(3.53,3.53) 
(3.63,3.63) 
(3.73,3.73) 
(3.83,3.83) 
(3.93,3.93) 
(4.03,4.03) 
(4.13,4.13) 
(4.23,4.23) 
(4.33,4.33) 
(4.43,4.43) 
(4.53,4.53) 
(4.63,4.63) 
(4.73,4.73) 
(4.83,4.83) 
(4.91529,4.91529) 
(4.97118,4.97118) 
(4.99765,4.99765) 
